place,hotel_name,avg_price_lkr
Kitulgala,Kitulgala Beach Resort,57831
Mirissa,Mirissa Nature Retreat,18902
Anuradhapura,Anuradhapura Grand Resort,11014
Jaffna,Jaffna Grand Resort,27226
Yala,Yala Safari Lodge,36225
Galle,Galle Luxury Villas,42810
Kitulgala,Kitulgala Mountain Inn,52682
Bentota,Bentota Eco Lodge,19473
Nuwara Eliya,Nuwara Eliya Mountain Inn,33070
Dambulla,Dambulla Nature Retreat,46217
Galle,Galle Luxury Villas,38221
Polonnaruwa,Polonnaruwa Nature Retreat,24733
Ella,Ella Nature Retreat,26850
Bentota,Bentota Beach Resort,36949
Yala,Yala Mountain Inn,27605
Kitulgala,Kitulgala Heritage Hotel,24390
Arugam Bay,Arugam Bay Tea Resort,21055
Udawalawe,Udawalawe Nature Retreat,14989
Dambulla,Dambulla City Hotel,45481
Yala,Yala Mountain Inn,27390
Anuradhapura,Anuradhapura Grand Resort,51137
Udawalawe,Udawalawe Tea Resort,8530
Kandy,Kandy Mountain Inn,56835
Trincomalee,Trincomalee Tea Resort,58838
Dambulla,Dambulla Mountain Inn,31089
Dambulla,Dambulla Palm Resort,20460
Polonnaruwa,Polonnaruwa Palm Resort,57517
Galle,Galle Palm Resort,14367
Kandy,Kandy Tea Resort,59682
Arugam Bay,Arugam Bay Grand Resort,45982
Yala,Yala Heritage Hotel,16612
Nuwara Eliya,Nuwara Eliya Tea Resort,29411
Kitulgala,Kitulgala Eco Lodge,21159
Galle,Galle Ocean View Hotel,31976
Polonnaruwa,Polonnaruwa Eco Lodge,24840
Trincomalee,Trincomalee Tea Resort,56926
Jaffna,Jaffna Beach Resort,38692
Nuwara Eliya,Nuwara Eliya Eco Lodge,57424
Dambulla,Dambulla Palm Resort,55462
Udawalawe,Udawalawe Ocean View Hotel,31971
Nuwara Eliya,Nuwara Eliya City Hotel,8912
Polonnaruwa,Polonnaruwa Ocean View Hotel,16099
Arugam Bay,Arugam Bay Safari Lodge,52094
