starting_city,days,budget,budget_level,interest,travel_type,transport_mode,recommended_route,total_distance_km,fuel_cost_lkr,hotel_cost_lkr,food_cost_lkr,attraction_cost_lkr,daily_budget_lkr,total_estimated_cost_lkr,recommended_hotels
Colombo,2,176579,high,cultural,couple,van,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,14604,36716,9466,4848,35154,70308,Kandy Hill Resort | Tea Garden Hotel | Ella Mountain Inn
Colombo,5,52493,low,wildlife,solo,van,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo,495,12690,22010,18195,2212,12508,62539,Temple View Hotel | Hill Breeze Resort | Nine Arch Resort
Colombo,4,49898,low,cultural,solo,car,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,9038,15584,15632,21782,15342,61369,Blue Ocean Resort | Southern Wave Resort
Colombo,10,48700,low,adventure,solo,bus,Colombo -> Yala -> Ella -> Galle -> Colombo,635,13505,58640,27840,3501,10932,109320,Safari Lodge | Nine Arch Resort | Galle Sea Breeze
Colombo,3,81319,medium,cultural,friends,bus,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,25001,30096,10779,24997,32357,97072,Ancient City Hotel | Northern Crown Hotel | Ella Green Stay | Southern Wave Resort
Colombo,4,102504,medium,adventure,family,van,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,32303,55616,10916,9505,25966,103865,Heritage Palace | Jaffna City Inn | Nine Arch Resort | Galle Sea Breeze
Colombo,7,34363,low,adventure,friends,bike,Colombo -> Anuradhapura -> Jaffna -> Trincomalee -> Ella -> Galle -> Colombo,1040,21188,32088,33593,19661,15119,105834,Heritage Palace | Jaffna City Inn | Nine Arch Resort | Galle Sea Breeze
Colombo,10,80033,medium,nature,solo,car,Colombo -> Sigiriya -> Kandy -> Ella -> Galle -> Colombo,625,12949,121400,42290,21543,19422,194222,Sigiriya Nature Stay | Kandy Hill Resort | Ella Green Stay | Fort View Hotel
Colombo,6,341483,high,nature,solo,bus,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,7759,156876,25680,7182,33322,199930,Lion Rock Hotel | Lakewood Stay
Colombo,10,58270,low,wildlife,solo,bus,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,8018,59940,40310,7293,11940,119398,Blue Ocean Resort | Southern Wave Resort
Colombo,9,40692,low,nature,family,bus,Colombo -> Bentota -> Hikkaduwa -> Galle -> Colombo,310,6849,33633,43407,4580,9430,84872,Bentota Bay Hotel | Galle Sea Breeze
Colombo,4,59581,low,adventure,couple,bus,Colombo -> Polonnaruwa -> Sigiriya -> Kandy -> Colombo,390,9825,23936,13468,19671,18568,74274,Lion Rock Hotel | Lakewood Stay
Colombo,8,171720,high,cultural,friends,bike,Colombo -> Mirissa -> Unawatuna -> Galle -> Colombo,375,8182,184984,31072,2689,28946,231565,Blue Ocean Resort | Southern Wave Resort
