budget,days,interest,travel_type,transport_mode,route_category,recommended_route
75935,4,nature,family,van,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
52487,3,family,friends,car,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
83547,6,cultural,couple,bike,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
92144,5,wildlife,couple,bike,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
100678,3,cultural,solo,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
121485,3,adventure,solo,bike,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
132217,4,nature,family,bus,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
177948,3,nature,couple,bus,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
130984,5,nature,family,bike,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
147605,8,adventure,couple,bus,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
72633,6,nature,couple,van,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
80189,3,wildlife,family,car,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
328837,10,luxury,solo,van,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
66013,5,cultural,friends,bike,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
94713,4,cultural,friends,bike,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
160370,3,family,solo,car,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
102687,7,cultural,solo,bike,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
138724,7,family,solo,car,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
65783,6,adventure,family,bike,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
163636,8,wildlife,solo,bus,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
29276,3,relax,couple,bus,Weekend_Getaway,Colombo -> Galle -> Colombo
53499,3,beach,family,bike,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
161372,7,wildlife,solo,van,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
175246,7,nature,friends,car,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
121095,7,cultural,couple,bus,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
139157,8,cultural,family,bike,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
40264,3,nature,solo,van,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
57539,3,beach,couple,van,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
158834,5,beach,solo,car,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
75247,7,family,family,bike,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
44115,2,relax,friends,van,Weekend_Getaway,Colombo -> Kandy -> Colombo
108170,6,nature,friends,bus,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
103331,8,beach,solo,car,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
117588,6,nature,couple,van,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
247745,5,luxury,family,bike,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
175880,3,family,solo,car,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
73976,6,cultural,friends,bike,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
84433,6,cultural,solo,bike,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
253738,6,luxury,couple,van,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
23317,1,relax,solo,bus,Weekend_Getaway,Colombo -> Kandy -> Colombo
41927,3,nature,solo,car,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
64746,7,nature,couple,bike,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
47036,3,relax,solo,car,Weekend_Getaway,Colombo -> Kandy -> Colombo
35120,3,relax,family,bus,Weekend_Getaway,Colombo -> Kandy -> Colombo
72729,8,adventure,family,bike,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
56397,6,wildlife,family,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
45323,2,relax,solo,van,Weekend_Getaway,Colombo -> Galle -> Colombo
89532,4,adventure,couple,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
168824,8,family,solo,bus,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
144856,7,cultural,solo,car,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
82076,8,wildlife,couple,bus,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
64036,8,wildlife,family,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
156510,4,wildlife,solo,bus,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
120351,3,wildlife,friends,bike,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
163935,5,nature,couple,car,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
56456,5,family,friends,van,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
138210,3,beach,couple,van,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
161225,4,family,couple,van,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
391072,8,luxury,couple,bus,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
102851,3,cultural,couple,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
88653,4,cultural,friends,bus,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
89162,5,beach,couple,bike,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
169996,3,wildlife,friends,bus,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
66327,7,wildlife,family,car,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
98602,7,adventure,friends,car,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
124399,7,wildlife,friends,car,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
174779,8,cultural,friends,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
54160,2,relax,solo,bus,Weekend_Getaway,Colombo -> Ella -> Colombo
323478,6,luxury,friends,bus,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
281456,9,luxury,couple,bus,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
157929,7,wildlife,couple,bike,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
141930,4,adventure,friends,bike,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
55310,5,nature,solo,bus,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
65070,3,cultural,couple,van,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
108752,8,cultural,solo,bike,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
87727,4,cultural,friends,bike,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
76539,8,beach,friends,van,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
57526,4,nature,couple,car,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
161169,7,family,friends,bike,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
153983,4,cultural,friends,bus,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
